event_id,user_id,session_id,event_type,product_id,query_text,duration_ms,created_at,page,product_type,time_since_prev_s,session_event_index,device,referrer,preferred_brand,preferred_budget,preferred_purpose,cart_size
EVT_000001,US_001,SSN_US_001_01,search,,laptop gaming lenovo 25-30tr,,2026-04-08T05:29:00Z,products_list,LAPTOP,0,1,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000002,US_001,SSN_US_001_01,filter,,filter: purpose=gaming,,2026-04-08T05:30:58Z,products_list,LAPTOP,118,2,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000003,US_001,SSN_US_001_01,view,1,,70759,2026-04-08T05:33:40Z,product_detail,LAPTOP,162,3,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000004,US_001,SSN_US_001_01,add_to_wishlist,1,,1246,2026-04-08T05:34:06Z,wishlist,LAPTOP,26,4,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000005,US_001,SSN_US_001_01,search,,laptop màn hình đẹp OLED,,2026-04-08T05:35:54Z,products_list,LAPTOP,108,5,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000006,US_001,SSN_US_001_01,view,13,,65049,2026-04-08T05:37:41Z,product_detail,LAPTOP,107,6,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000007,US_001,SSN_US_001_01,add_to_wishlist,13,,1244,2026-04-08T05:40:23Z,wishlist,LAPTOP,162,7,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000008,US_001,SSN_US_001_01,search,,laptop intel arc 20-25tr,,2026-04-08T05:42:32Z,products_list,LAPTOP,129,8,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000009,US_001,SSN_US_001_01,view,13,,48071,2026-04-08T05:44:57Z,product_detail,LAPTOP,145,9,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000010,US_001,SSN_US_001_01,add_to_wishlist,13,,892,2026-04-08T05:46:11Z,wishlist,LAPTOP,74,10,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000011,US_001,SSN_US_001_01,search,,laptop lenovo 10-15tr,,2026-04-08T05:48:42Z,products_list,LAPTOP,151,11,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000012,US_001,SSN_US_001_01,view,13,,35219,2026-04-08T05:52:32Z,product_detail,LAPTOP,230,12,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000013,US_001,SSN_US_001_01,add_to_wishlist,13,,2129,2026-04-08T05:52:44Z,wishlist,LAPTOP,12,13,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000014,US_001,SSN_US_001_01,search,,laptop core i7 dưới 30tr,,2026-04-08T05:55:48Z,products_list,LAPTOP,184,14,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000015,US_001,SSN_US_001_01,view,1,,51392,2026-04-08T05:59:02Z,product_detail,LAPTOP,194,15,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000016,US_001,SSN_US_001_01,add_to_wishlist,1,,1610,2026-04-08T05:59:41Z,wishlist,LAPTOP,39,16,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000017,US_001,SSN_US_001_01,search,,laptop học IT + lập trình,,2026-04-08T06:02:45Z,products_list,LAPTOP,184,17,mobile,organic,Lenovo,25-30tr,gaming,0
EVT_000018,US_001,SSN_US_001_01,view,3,,59120,2026-04-08T06:06:41Z,product_detail,LAPTOP,236,18,mobile,organic,Lenovo,25-30tr,gaming,0
