event_id,user_id,session_id,event_type,product_id,query_text,duration_ms,created_at,page,product_type
EVT_000001,US_001,SSN_US_001_01,remove_from_cart,11,,3456,2026-04-09T22:59:00Z,cart,LAPTOP
EVT_000002,US_001,SSN_US_001_01,search,,laptop pin tốt cho sinh viên,,2026-04-09T23:02:45Z,products_list,LAPTOP
EVT_000003,US_001,SSN_US_001_01,paginate,,,931,2026-04-09T23:03:53Z,products_list,LAPTOP
EVT_000004,US_001,SSN_US_001_01,purchase,6,,10572,2026-04-09T23:07:29Z,checkout_success,LAPTOP
EVT_000005,US_001,SSN_US_001_01,add_to_cart,2,,3228,2026-04-09T23:08:47Z,cart,LAPTOP
EVT_000006,US_001,SSN_US_001_01,checkout_start,,,7155,2026-04-09T23:11:22Z,checkout,LAPTOP
EVT_000007,US_001,SSN_US_001_01,chat,11,Trọng lượng khoảng bao nhiêu kg?,,2026-04-09T23:12:26Z,chat_widget,LAPTOP
EVT_000008,US_001,SSN_US_001_01,sort,,sort: newest,,2026-04-09T23:14:17Z,products_list,LAPTOP
EVT_000009,US_001,SSN_US_001_01,filter,,filter: price<=30000000,,2026-04-09T23:16:24Z,products_list,LAPTOP
EVT_000010,US_001,SSN_US_001_01,view,3,,34162,2026-04-09T23:17:41Z,product_detail,LAPTOP
EVT_000011,US_002,SSN_US_002_01,paginate,,,1249,2026-04-18T08:47:00Z,products_list,LAPTOP
EVT_000012,US_002,SSN_US_002_02,checkout_start,,,4621,2026-04-18T08:47:49Z,checkout,LAPTOP
EVT_000013,US_002,SSN_US_002_03,search,,laptop core i5 15-20tr,,2026-04-18T08:51:21Z,products_list,LAPTOP
EVT_000014,US_002,SSN_US_002_01,sort,,sort: price_asc,,2026-04-18T08:54:03Z,products_list,LAPTOP
EVT_000015,US_002,SSN_US_002_02,add_to_cart,7,,6381,2026-04-18T08:55:51Z,cart,LAPTOP
EVT_000016,US_002,SSN_US_002_03,view,9,,34476,2026-04-18T08:58:00Z,product_detail,LAPTOP
EVT_000017,US_002,SSN_US_002_01,filter,,filter: purpose=mỏng nhẹ,,2026-04-18T09:00:31Z,products_list,LAPTOP
EVT_000018,US_002,SSN_US_002_02,purchase,12,,5876,2026-04-18T09:03:35Z,checkout_success,LAPTOP
EVT_000019,US_002,SSN_US_002_03,remove_from_cart,15,,5198,2026-04-18T09:06:39Z,cart,LAPTOP
EVT_000020,US_002,SSN_US_002_01,chat,5,SSD 512GB có đủ dùng không hay nên 1TB?,,2026-04-18T09:10:01Z,chat_widget,LAPTOP
EVT_000021,US_003,SSN_US_003_01,sort,,sort: newest,,2026-04-04T09:27:00Z,products_list,LAPTOP
EVT_000022,US_003,SSN_US_003_02,purchase,14,,14468,2026-04-04T09:28:26Z,checkout_success,LAPTOP
EVT_000023,US_003,SSN_US_003_01,paginate,,,3294,2026-04-04T09:30:45Z,products_list,LAPTOP
EVT_000024,US_003,SSN_US_003_02,view,3,,42504,2026-04-04T09:31:45Z,product_detail,LAPTOP
EVT_000025,US_003,SSN_US_003_01,chat,3,Tản nhiệt khi render có ổn không?,,2026-04-04T09:35:10Z,chat_widget,LAPTOP
EVT_000026,US_003,SSN_US_003_02,remove_from_cart,15,,5144,2026-04-04T09:38:39Z,cart,LAPTOP
EVT_000027,US_003,SSN_US_003_01,add_to_cart,10,,4155,2026-04-04T09:38:49Z,cart,LAPTOP
EVT_000028,US_003,SSN_US_003_02,search,,laptop mỏng nhẹ pin trâu,,2026-04-04T09:41:04Z,products_list,LAPTOP
EVT_000029,US_003,SSN_US_003_01,checkout_start,,,7947,2026-04-04T09:41:42Z,checkout,LAPTOP
EVT_000030,US_003,SSN_US_003_02,filter,,filter: ram>=32,,2026-04-04T09:45:36Z,products_list,LAPTOP
EVT_000031,US_004,SSN_US_004_01,search,,laptop intel arc tầm 20tr,,2026-04-08T18:05:00Z,products_list,LAPTOP
EVT_000032,US_004,SSN_US_004_01,sort,,sort: price_desc,,2026-04-08T18:05:52Z,products_list,LAPTOP
EVT_000033,US_004,SSN_US_004_01,filter,,filter: brand=dell,,2026-04-08T18:08:17Z,products_list,LAPTOP
EVT_000034,US_004,SSN_US_004_01,add_to_cart,15,,5917,2026-04-08T18:09:21Z,cart,LAPTOP
EVT_000035,US_004,SSN_US_004_01,purchase,12,,7295,2026-04-08T18:12:44Z,checkout_success,LAPTOP
EVT_000036,US_004,SSN_US_004_01,paginate,,,2076,2026-04-08T18:15:56Z,products_list,LAPTOP
EVT_000037,US_004,SSN_US_004_01,remove_from_cart,11,,3859,2026-04-08T18:17:48Z,cart,LAPTOP
EVT_000038,US_004,SSN_US_004_01,chat,15,"Bảo hành bao lâu, có đổi trả không?",,2026-04-08T18:19:50Z,chat_widget,LAPTOP
EVT_000039,US_004,SSN_US_004_01,checkout_start,,,3982,2026-04-08T18:21:55Z,checkout,LAPTOP
EVT_000040,US_004,SSN_US_004_01,view,4,,22196,2026-04-08T18:23:08Z,product_detail,LAPTOP
EVT_000041,US_005,SSN_US_005_01,purchase,14,,9413,2026-04-19T17:14:00Z,checkout_success,LAPTOP
EVT_000042,US_005,SSN_US_005_01,filter,,filter: screen=120hz,,2026-04-19T17:14:28Z,products_list,LAPTOP
EVT_000043,US_005,SSN_US_005_01,paginate,,,2788,2026-04-19T17:15:49Z,products_list,LAPTOP
EVT_000044,US_005,SSN_US_005_01,view,9,,26671,2026-04-19T17:16:53Z,product_detail,LAPTOP
EVT_000045,US_005,SSN_US_005_01,remove_from_cart,15,,5477,2026-04-19T17:20:08Z,cart,LAPTOP
EVT_000046,US_005,SSN_US_005_01,add_to_cart,8,,3490,2026-04-19T17:22:45Z,cart,LAPTOP
EVT_000047,US_005,SSN_US_005_01,checkout_start,,,9749,2026-04-19T17:26:15Z,checkout,LAPTOP
EVT_000048,US_005,SSN_US_005_01,search,,laptop ultra 5 dưới 10tr,,2026-04-19T17:29:51Z,products_list,LAPTOP
EVT_000049,US_005,SSN_US_005_01,sort,,sort: price_asc,,2026-04-19T17:30:49Z,products_list,LAPTOP
EVT_000050,US_005,SSN_US_005_01,chat,11,Máy có nâng cấp thêm SSD được không?,,2026-04-19T17:31:23Z,chat_widget,LAPTOP
EVT_000051,US_006,SSN_US_006_01,purchase,4,,12786,2026-04-14T14:55:00Z,checkout_success,LAPTOP
EVT_000052,US_006,SSN_US_006_02,paginate,,,1374,2026-04-14T14:57:04Z,products_list,LAPTOP
EVT_000053,US_006,SSN_US_006_01,remove_from_cart,3,,3081,2026-04-14T14:59:02Z,cart,LAPTOP
EVT_000054,US_006,SSN_US_006_02,checkout_start,,,6092,2026-04-14T15:01:10Z,checkout,LAPTOP
EVT_000055,US_006,SSN_US_006_01,filter,,filter: purpose=đồ hoạ - kỹ thuật,,2026-04-14T15:05:03Z,products_list,LAPTOP
EVT_000056,US_006,SSN_US_006_02,add_to_cart,13,,8556,2026-04-14T15:07:06Z,cart,LAPTOP
EVT_000057,US_006,SSN_US_006_01,sort,,sort: newest,,2026-04-14T15:10:55Z,products_list,LAPTOP
EVT_000058,US_006,SSN_US_006_02,chat,1,Máy có bị ồn quạt khi làm việc nặng không?,,2026-04-14T15:11:30Z,chat_widget,LAPTOP
EVT_000059,US_006,SSN_US_006_01,view,14,,18967,2026-04-14T15:13:58Z,product_detail,LAPTOP
EVT_000060,US_006,SSN_US_006_02,search,,laptop acer 10-15tr,,2026-04-14T15:14:31Z,products_list,LAPTOP
EVT_000061,US_007,SSN_US_007_01,add_to_cart,7,,7206,2026-04-16T15:13:00Z,cart,LAPTOP
EVT_000062,US_007,SSN_US_007_02,paginate,,,3076,2026-04-16T15:16:17Z,products_list,LAPTOP
EVT_000063,US_007,SSN_US_007_01,view,12,,49894,2026-04-16T15:19:16Z,product_detail,LAPTOP
EVT_000064,US_007,SSN_US_007_02,checkout_start,,,5111,2026-04-16T15:20:05Z,checkout,LAPTOP
EVT_000065,US_007,SSN_US_007_01,chat,4,Pin dùng văn phòng được bao lâu?,,2026-04-16T15:21:30Z,chat_widget,LAPTOP
EVT_000066,US_007,SSN_US_007_02,purchase,12,,12883,2026-04-16T15:24:08Z,checkout_success,LAPTOP
EVT_000067,US_007,SSN_US_007_01,sort,,sort: newest,,2026-04-16T15:24:33Z,products_list,LAPTOP
EVT_000068,US_007,SSN_US_007_02,filter,,filter: purpose=gaming,,2026-04-16T15:26:03Z,products_list,LAPTOP
EVT_000069,US_007,SSN_US_007_01,search,,laptop intel arc dưới 30tr,,2026-04-16T15:26:25Z,products_list,LAPTOP
EVT_000070,US_007,SSN_US_007_02,remove_from_cart,15,,5150,2026-04-16T15:28:43Z,cart,LAPTOP
EVT_000071,US_008,SSN_US_008_01,remove_from_cart,10,,5670,2026-04-17T02:54:00Z,cart,LAPTOP
EVT_000072,US_008,SSN_US_008_01,paginate,,,3336,2026-04-17T02:54:20Z,products_list,LAPTOP
EVT_000073,US_008,SSN_US_008_01,chat,7,Có phù hợp mang đi học hằng ngày không?,,2026-04-17T02:54:50Z,chat_widget,LAPTOP
EVT_000074,US_008,SSN_US_008_01,search,,laptop intel arc 15-20tr,,2026-04-17T02:57:29Z,products_list,LAPTOP
EVT_000075,US_008,SSN_US_008_01,sort,,sort: price_desc,,2026-04-17T02:59:52Z,products_list,LAPTOP
EVT_000076,US_008,SSN_US_008_01,checkout_start,,,5346,2026-04-17T03:01:08Z,checkout,LAPTOP
