event_id,user_id,session_id,event_type,product_id,query_text,duration_ms,created_at,page,product_type
EVT_000001,US_001,SSN_US_001_01,checkout_start,,,2520,2026-04-04T00:47:00Z,checkout,LAPTOP
EVT_000002,US_001,SSN_US_001_02,remove_from_cart,2,,2591,2026-04-04T00:47:17Z,cart,LAPTOP
EVT_000003,US_001,SSN_US_001_03,filter,,filter: purpose=đồ hoạ - kỹ thuật,,2026-04-04T00:48:26Z,products_list,LAPTOP
EVT_000004,US_001,SSN_US_001_01,chat,1,Con máy này có nâng cấp RAM/SSD được không?,,2026-04-04T00:51:10Z,chat_widget,LAPTOP
EVT_000005,US_001,SSN_US_001_02,search,,laptop 14 inch nhẹ,,2026-04-04T00:52:10Z,products_list,LAPTOP
EVT_000006,US_001,SSN_US_001_03,add_to_cart,12,,5964,2026-04-04T00:55:06Z,cart,LAPTOP
EVT_000007,US_001,SSN_US_001_01,view,4,,47439,2026-04-04T00:57:03Z,product_detail,LAPTOP
EVT_000008,US_001,SSN_US_001_02,purchase,5,,4106,2026-04-04T00:59:43Z,checkout_success,LAPTOP
EVT_000009,US_001,SSN_US_001_03,sort,,sort: price_asc,,2026-04-04T01:03:07Z,products_list,LAPTOP
EVT_000010,US_001,SSN_US_001_01,paginate,,,2531,2026-04-04T01:06:15Z,products_list,LAPTOP
EVT_000011,US_002,SSN_US_002_01,chat,13,Máy này có phù hợp học IT + làm đồ hoạ không?,,2026-04-05T06:48:00Z,chat_widget,LAPTOP
EVT_000012,US_002,SSN_US_002_02,checkout_start,,,9527,2026-04-05T06:51:16Z,checkout,LAPTOP
EVT_000013,US_002,SSN_US_002_01,remove_from_cart,2,,3900,2026-04-05T06:53:43Z,cart,LAPTOP
EVT_000014,US_002,SSN_US_002_02,paginate,,,3061,2026-04-05T06:54:13Z,products_list,LAPTOP
EVT_000015,US_002,SSN_US_002_01,filter,,filter: purpose=đồ hoạ - kỹ thuật,,2026-04-05T06:55:38Z,products_list,LAPTOP
EVT_000016,US_002,SSN_US_002_02,search,,laptop gaming rtx,,2026-04-05T06:58:26Z,products_list,LAPTOP
EVT_000017,US_002,SSN_US_002_01,sort,,sort: price_asc,,2026-04-05T07:01:03Z,products_list,LAPTOP
EVT_000018,US_002,SSN_US_002_02,purchase,2,,4750,2026-04-05T07:04:13Z,checkout_success,LAPTOP
EVT_000019,US_002,SSN_US_002_01,view,4,,68663,2026-04-05T07:07:12Z,product_detail,LAPTOP
EVT_000020,US_002,SSN_US_002_02,add_to_cart,2,,8506,2026-04-05T07:08:36Z,cart,LAPTOP
EVT_000021,US_003,SSN_US_003_01,checkout_start,,,10751,2026-04-13T08:29:00Z,checkout,LAPTOP
EVT_000022,US_003,SSN_US_003_01,sort,,sort: price_asc,,2026-04-13T08:32:16Z,products_list,LAPTOP
EVT_000023,US_003,SSN_US_003_01,paginate,,,2693,2026-04-13T08:33:07Z,products_list,LAPTOP
EVT_000024,US_003,SSN_US_003_01,search,,laptop gaming rtx,,2026-04-13T08:34:54Z,products_list,LAPTOP
EVT_000025,US_003,SSN_US_003_01,remove_from_cart,12,,5362,2026-04-13T08:37:47Z,cart,LAPTOP
EVT_000026,US_003,SSN_US_003_01,view,11,,39252,2026-04-13T08:38:53Z,product_detail,LAPTOP
EVT_000027,US_003,SSN_US_003_01,purchase,13,,4916,2026-04-13T08:42:38Z,checkout_success,LAPTOP
EVT_000028,US_003,SSN_US_003_01,chat,14,Máy này có phù hợp học IT + làm đồ hoạ không?,,2026-04-13T08:43:46Z,chat_widget,LAPTOP
EVT_000029,US_003,SSN_US_003_01,filter,,filter: purpose=gaming,,2026-04-13T08:47:22Z,products_list,LAPTOP
EVT_000030,US_003,SSN_US_003_01,add_to_cart,5,,2042,2026-04-13T08:49:14Z,cart,LAPTOP
EVT_000031,US_004,SSN_US_004_01,search,,laptop 14 inch nhẹ,,2026-04-11T06:41:00Z,products_list,LAPTOP
EVT_000032,US_004,SSN_US_004_02,sort,,sort: price_desc,,2026-04-11T06:43:39Z,products_list,LAPTOP
EVT_000033,US_004,SSN_US_004_03,add_to_cart,10,,4771,2026-04-11T06:47:38Z,cart,LAPTOP
EVT_000034,US_004,SSN_US_004_01,paginate,,,1698,2026-04-11T06:49:20Z,products_list,LAPTOP
EVT_000035,US_004,SSN_US_004_02,purchase,9,,12085,2026-04-11T06:50:05Z,checkout_success,LAPTOP
EVT_000036,US_004,SSN_US_004_03,filter,,filter: purpose=mỏng nhẹ,,2026-04-11T06:50:38Z,products_list,LAPTOP
EVT_000037,US_004,SSN_US_004_01,view,2,,28016,2026-04-11T06:54:28Z,product_detail,LAPTOP
EVT_000038,US_004,SSN_US_004_02,chat,3,Màn hình có đẹp để làm thiết kế không?,,2026-04-11T06:57:18Z,chat_widget,LAPTOP
EVT_000039,US_004,SSN_US_004_03,remove_from_cart,2,,3952,2026-04-11T07:00:00Z,cart,LAPTOP
EVT_000040,US_004,SSN_US_004_01,checkout_start,,,11763,2026-04-11T07:01:47Z,checkout,LAPTOP
EVT_000041,US_005,SSN_US_005_01,sort,,sort: price_asc,,2026-04-09T17:55:00Z,products_list,LAPTOP
EVT_000042,US_005,SSN_US_005_02,checkout_start,,,2053,2026-04-09T17:57:06Z,checkout,LAPTOP
EVT_000043,US_005,SSN_US_005_03,purchase,15,,8315,2026-04-09T18:00:20Z,checkout_success,LAPTOP
EVT_000044,US_005,SSN_US_005_01,chat,13,Pin dùng văn phòng được bao lâu?,,2026-04-09T18:02:38Z,chat_widget,LAPTOP
EVT_000045,US_005,SSN_US_005_02,filter,,filter: purpose=mỏng nhẹ,,2026-04-09T18:04:57Z,products_list,LAPTOP
EVT_000046,US_005,SSN_US_005_03,add_to_cart,11,,3944,2026-04-09T18:08:49Z,cart,LAPTOP
EVT_000047,US_005,SSN_US_005_01,remove_from_cart,11,,4958,2026-04-09T18:12:34Z,cart,LAPTOP
EVT_000048,US_005,SSN_US_005_02,paginate,,,1614,2026-04-09T18:15:19Z,products_list,LAPTOP
EVT_000049,US_005,SSN_US_005_03,view,6,,67971,2026-04-09T18:16:08Z,product_detail,LAPTOP
EVT_000050,US_005,SSN_US_005_01,search,,laptop AI ryzen,,2026-04-09T18:16:59Z,products_list,LAPTOP
EVT_000051,US_006,SSN_US_006_01,paginate,,,1150,2026-04-01T19:20:00Z,products_list,LAPTOP
EVT_000052,US_006,SSN_US_006_02,add_to_cart,8,,8184,2026-04-01T19:23:17Z,cart,LAPTOP
