event_id,user_id,session_id,event_type,product_id,query_text,duration_ms,created_at,page,product_type
EVT_0001,US_001,SSN_US001_01,search,,"laptop đồ hoạ kỹ thuật 20-30tr",,2026-04-10T09:10:00Z,products_list,LAPTOP
EVT_0002,US_001,SSN_US001_01,view,9,,42000,2026-04-10T09:11:10Z,product_detail,LAPTOP
EVT_0003,US_001,SSN_US001_01,view,4,,38000,2026-04-10T09:13:05Z,product_detail,LAPTOP
EVT_0004,US_001,SSN_US001_01,view,11,,45000,2026-04-10T09:15:20Z,product_detail,LAPTOP
EVT_0005,US_001,SSN_US001_01,add_to_cart,9,,7000,2026-04-10T09:16:10Z,cart,LAPTOP
EVT_0006,US_001,SSN_US001_01,chat,9,"Máy này chạy đồ hoạ và stream ổn không?",,2026-04-10T09:17:00Z,chat_widget,LAPTOP
EVT_0007,US_001,SSN_US001_01,view,15,,41000,2026-04-10T09:19:30Z,product_detail,LAPTOP
EVT_0008,US_001,SSN_US001_01,add_to_cart,15,,6000,2026-04-10T09:20:10Z,cart,LAPTOP
EVT_0009,US_001,SSN_US001_01,purchase,9,,12000,2026-04-10T09:25:00Z,checkout_success,LAPTOP
EVT_0010,US_001,SSN_US001_02,search,,"laptop gaming rtx 2050",,2026-04-11T20:05:00Z,products_list,LAPTOP
EVT_0011,US_001,SSN_US001_02,view,9,,52000,2026-04-11T20:06:10Z,product_detail,LAPTOP
EVT_0012,US_001,SSN_US001_02,view,15,,39000,2026-04-11T20:08:40Z,product_detail,LAPTOP
EVT_0013,US_001,SSN_US001_02,chat,15,"MSI Katana này có phù hợp học IT + chơi game không?",,2026-04-11T20:09:30Z,chat_widget,LAPTOP
EVT_0014,US_001,SSN_US001_02,view,10,,35000,2026-04-11T20:12:10Z,product_detail,LAPTOP
EVT_0015,US_001,SSN_US001_02,view,8,,24000,2026-04-11T20:14:00Z,product_detail,LAPTOP
EVT_0016,US_001,SSN_US001_02,add_to_cart,10,,6000,2026-04-11T20:15:40Z,cart,LAPTOP
EVT_0017,US_001,SSN_US001_02,view,13,,48000,2026-04-11T20:16:50Z,product_detail,LAPTOP
EVT_0018,US_001,SSN_US001_02,chat,13,"ThinkPad X1 Carbon làm đồ hoạ nặng có ổn không?",,2026-04-11T20:18:20Z,chat_widget,LAPTOP
EVT_0019,US_001,SSN_US001_02,view,4,,33000,2026-04-11T20:20:30Z,product_detail,LAPTOP
EVT_0020,US_001,SSN_US001_02,add_to_cart,4,,7000,2026-04-11T20:21:15Z,cart,LAPTOP
EVT_0021,US_002,SSN_US002_01,search,,"laptop mỏng nhẹ văn phòng pin tốt",,2026-04-12T08:30:00Z,products_list,LAPTOP
EVT_0022,US_002,SSN_US002_01,view,3,,60000,2026-04-12T08:31:40Z,product_detail,LAPTOP
EVT_0023,US_002,SSN_US002_01,view,14,,41000,2026-04-12T08:33:10Z,product_detail,LAPTOP
EVT_0024,US_002,SSN_US002_01,view,2,,52000,2026-04-12T08:35:05Z,product_detail,LAPTOP
EVT_0025,US_002,SSN_US002_01,view,7,,35000,2026-04-12T08:36:50Z,product_detail,LAPTOP
EVT_0026,US_002,SSN_US002_01,chat,2,"Vivobook S16 này có nhẹ không, pin được bao lâu?",,2026-04-12T08:37:30Z,chat_widget,LAPTOP
EVT_0027,US_002,SSN_US002_01,add_to_cart,2,,6000,2026-04-12T08:38:20Z,cart,LAPTOP
EVT_0028,US_002,SSN_US002_01,view,1,,42000,2026-04-12T08:40:10Z,product_detail,LAPTOP
EVT_0029,US_002,SSN_US002_01,view,12,,30000,2026-04-12T08:42:00Z,product_detail,LAPTOP
EVT_0030,US_002,SSN_US002_01,purchase,2,,12000,2026-04-12T08:50:00Z,checkout_success,LAPTOP
EVT_0031,US_002,SSN_US002_02,search,,"laptop 14 inch nhẹ dưới 1.5kg",,2026-04-14T21:10:00Z,products_list,LAPTOP
EVT_0032,US_002,SSN_US002_02,view,7,,46000,2026-04-14T21:11:30Z,product_detail,LAPTOP
EVT_0033,US_002,SSN_US002_02,view,13,,27000,2026-04-14T21:13:00Z,product_detail,LAPTOP
EVT_0034,US_002,SSN_US002_02,view,11,,32000,2026-04-14T21:14:20Z,product_detail,LAPTOP
EVT_0035,US_002,SSN_US002_02,chat,11,"ZenBook 14 này có phù hợp văn phòng và hay di chuyển không?",,2026-04-14T21:15:00Z,chat_widget,LAPTOP
EVT_0036,US_002,SSN_US002_02,view,6,,29000,2026-04-14T21:17:40Z,product_detail,LAPTOP
EVT_0037,US_002,SSN_US002_02,view,5,,25000,2026-04-14T21:19:10Z,product_detail,LAPTOP
EVT_0038,US_002,SSN_US002_02,add_to_cart,7,,6000,2026-04-14T21:20:10Z,cart,LAPTOP
EVT_0039,US_002,SSN_US002_02,view,3,,31000,2026-04-14T21:21:30Z,product_detail,LAPTOP
EVT_0040,US_002,SSN_US002_02,chat,3,"IdeaPad Slim 5 OLED có nóng khi làm việc lâu không?",,2026-04-14T21:22:10Z,chat_widget,LAPTOP
